Date,Open,High,Low,Close,Volume,Company
24-04-2021,143.5,143.9499969,143.1799927,143.6399994,17134300,APPLE
25-04-2021,143.9100037,144.8999939,143.8699951,144.5299988,18871500,APPLE
26-04-2021,144.4700012,144.6000061,143.3800049,143.6799927,20041200,APPLE
27-04-2021,143.9199982,144.1600037,143.3099976,143.7899933,14246300,APPLE
28-04-2021,144.0899963,144.3000031,143.2700043,143.6499939,20860400,APPLE
01-05-2021,145.1000061,147.1999969,144.9600067,146.5800018,33602900,APPLE
02-05-2021,147.5399933,148.0899963,146.8399963,147.5099945,45352200,APPLE
03-05-2021,145.5899963,147.4900055,144.2700043,147.0599976,45697000,APPLE
04-05-2021,146.5200043,147.1399994,145.8099976,146.5299988,23371900,APPLE
05-05-2021,146.7599945,148.9799957,146.7599945,148.9600067,27327700,APPLE
08-05-2021,149.0299988,153.6999969,149.0299988,153.0099945,48752400,APPLE
09-05-2021,153.8699951,154.8800049,153.4499969,153.9900055,39130400,APPLE
10-05-2021,153.6300049,153.9400024,152.1100006,153.2599945,25805700,APPLE
11-05-2021,152.4499969,154.0700073,152.3099976,153.9499969,27255100,APPLE
12-05-2021,154.6999969,156.4199982,154.6699982,156.1000061,32527000,APPLE
15-05-2021,156.0099945,156.6499939,155.0500031,155.6999969,26009700,APPLE
16-05-2021,155.9400024,156.0599976,154.7200012,155.4700012,20048500,APPLE
17-05-2021,153.6000061,154.5700073,149.7100067,150.25,50767700,APPLE
18-05-2021,151.2700043,153.3399963,151.1300049,152.5399933,33568200,APPLE
19-05-2021,153.3800049,153.9799957,152.6300049,153.0599976,26960800,APPLE
22-05-2021,154,154.5800018,152.9100037,153.9900055,22966400,APPLE
23-05-2021,154.8999939,154.8999939,153.3099976,153.8000031,19918900,APPLE
24-05-2021,153.8399963,154.1699982,152.6699982,153.3399963,19178000,APPLE
25-05-2021,153.7299957,154.3500061,153.0299988,153.8699951,19235600,APPLE
26-05-2021,154,154.2400055,153.3099976,153.6100006,21927600,APPLE
